ets Jun  8 2016 00:22:57

rst:0x1 (POWERON_RESET),boot:0x13 (SPReMQ}1M!}	==Q 
configsip: 0, A%]A 0xee
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
mode:DIO, clock div:2
load:0 fff0030,len:6380
25327 29447
25332 29455
25354 29520
25386 29595
25401 29647
25418 29685
25444 29765
25414 29677
25270 29290
25276 29297
25287 29324
25292 29325
25302 29352
25337 29451
25372 29535
25401 29607
25426 29674
25466 29743
25492 29823
25526 29913
25561 29995
25543 29928
25368 29454
25368 29451
25396 29510
25384 29502
25400 29532
25440 29634
25474 29722
25502 29789
25528 29859
25559 29930
25556 29916
25413 29543
25411 29520
25435 29590
25443 29608
25456 29636
25493 29738
25530 29823
25551 29887
25575 29943
25604 30018
25635 30106
25550 29881
25453 29625
25485 29703
25494 29713
25480 29686
25496 29737
25529 29818
25557 29872
25570 29918
25594 29985
25617 30040
25501 29726
25461 29617
25484 29677
25489 29695
25488 29692
25516 29770
25545 29845
25572 29899
25603 29962
25617 30028
25649 30102
25558 29851
25483 29651
25503 29690
25502 29707
25502 29707
25533 29775
25563 29843
25580 29888
25598 29932
25614 29986
25637 30043
25526 29748
25475 29618
25495 29674
25501 29691
25504 29699
25532 29768
25563 29848
25591 29906
25608 29959
25641 30036
25668 30093
25694 30163
25614 29947
25510 29673
25515 29706
25517 29712
25517 29718
25539 29761
25563 29833
25583 29885
25608 29934
25630 30001
25653 30063
25687 30136
25622 29971
25510 29681
25528 29724
25528 29732
25529 29742
25554 29794
25585 29874
25605 29939
25632 29981
25652 30046
25676 30110
25694 30152
25571 29821
25534 29726
25551 29771
25557 29792
25561 29805
25587 29876
25615 29949
25636 29996
25651 30040
25681 30113
25627 29971
25528 29710
25553 29767
25560 29798
25562 29804
25587 29852
25619 29940
25639 29998
25662 30053
25683 30114
25720 30199
25633 29971
25538 29726
25563 29792
25575 29814
25575 29807
25590 29859
25625 29951
25652 30014
25668 30058
25689 30107
25718 30182
25677 30077
25543 29726
25561 29771
25575 29807
25570 29801
25579 29836
25620 29937
25644 29996
25660 30038
25679 30092
25703 30162
25622 29949
25513 29661
25529 29703
25538 29729
25536 29737
25558 29790
25590 29875
25610 29932
25637 29989
25661 30058
25689 30128
25715 30186
25736 30252
25682 30119
25522 29698
25531 29735
25552 29775
25553 29785
25563 29826
25602 29923
25623 29976
25637 30013
25662 30073
25686 30152
25712 30230
25584 29890
25519 29740
25555 29814
25556 29835
25552 29819
25574 29887
25604 29970
25620 30021
25638 30064
25665 30134
25675 30158
25526 29772
25504 29732
25535 29801
25531 29799
25524 29799
25560 29883
25584 29961
25605 30001
25624 30051
25643 30117
25670 30181
25550 29876
25443 29601
25453 29631
25454 29631
25451 29638
25472 29696
25504 29778
25527 29837
25551 29884
25569 29952
25597 30024
25617 30065
25463 29679
25413 29565
25434 29618
25444 29639
25444 29651
25489 29741
25521 29832
25538 29880
25551 29919
25585 30002
25515 29816
25408 29556
25431 29624
25450 29666
25445 29653
25465 29707
25503 29798
25520 29854
25541 29906
25574 29986
25486 29752
25372 29487
25382 29513
25399 29557
25413 29586
25425 29621
25452 29700
25480 29761
25497 29813
25538 29903
25484 29775
25335 29413
25341 29430
25344 29449
25365 29497
25379 29537
25428 29649
25475 29752
25500 29823
25528 29899
25567 29990
25508 29842
25364 29493
25383 29544
25395 29565
25406 29588
25416 29618
25455 29705
25478 29775
25497 29822
25521 29876
25546 29929
25403 29573
25345 29461
25370 29509
25384 29544
25395 29567
25446 29707
25512 29867
25535 29924
25556 29973
25589 30064
25538 29920
25385 29554
25392 29579
25401 29588
25408 29622
25425 29662
25463 29757
25494 29838
25516 29882
25534 29937
25560 30007
25590 30075
25620 30142
25643 30193
25677 30266
25692 30324
25521 29883
25454 29715
25466 29760
25467 29762
25466 29760
25483 29817
25521 29910
25546 29978
25577 30044
25593 30100
25627 30175
25641 30213
25495 29851
25468 29782
25486 29831
25496 29850
